title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
英属哥伦比亚大学 ,3,加拿大,"英属,哥伦比亚",温哥华,公立，男女合校,1908年,无,"48,768",医博类大学,www.ubc.ca
哈佛大学 ,2*(2),美国,马萨诸塞州,剑桥（马萨诸塞州）,私立，男女合校,1636*(1),无,"10,803",全国性大学,www.harvard.edu
加州大学圣塔芭芭拉分校 ,37*(2),美国,加利福尼亚州,圣塔芭芭拉,公立，男女合校,1891*(1),无,"23,497",全国性大学,www.ucsb.edu
多伦多大学 ,2,加拿大,安大略,多伦多,公立，男女合校,1827年,无,"46,050",医博类大学,www.utoronto.ca
纽约大学 ,30*(2),美国,纽约州,纽约市,私立，男女合校,1831*(1)(3),无,"49,274",全国性大学,www.nyu.edu
康奈尔大学 ,USNEWS:14*(1),美国,纽约州,伊萨卡,私立，男女合校*(3),1865年,,"21,904",全国性大学,www.cornell.edu
伦敦大学学院 ,QS世界：3(5)；Times国内：9,英国,英格兰,伦敦,公立，男女合校,1907年*(1),无,"28,430（含全日制与非全日制）*(2)",综合性大学,www.ucl.ac.uk
宾夕法尼亚大学 ,8*(2),美国,宾夕法尼亚州,费城,私立，男女合校,1740*(1),无,"21,395",全国性大学,www.upenn.edu
西北大学 ,USNEWS：11 *(2),美国,伊利诺伊州,埃文斯顿,私立，男女合校*(3),1851,,"21,642*(3)",全国性大学,www.northwestern.edu
密歇根大学安娜堡分校 ,USNEWS：28*(5),美国,密歇根州,安娜堡,公立，男女合校*(6),1817,无,"43,651*(6)",全国性大学,"umich.edu,*(6)"
杜克大学 ,USNEWS：9*(2),美国,北卡罗来纳州,达勒姆,私立，男女合校*(3),1838年,无,"15,984",全国性大学,www.duke.edu
墨尔本大学 ,ERA：1*(2),澳大利亚,维多利亚州,墨尔本,公立，男女合校,1853*(3),无,"40,454*(3)",五星级大学,www.unimelb.edu.au
加州大学旧金山分校 ,"医学,研究：3*(2)",美国,加利福尼亚州,旧金山,公立，男女合校,1873*(1),无,"5,590（含研究生、驻院学员、博士后）*(3)",医学院,www.ucsf.edu
帝国理工学院 ,QS世界：1(2)；Times国内：5,英国,英格兰,伦敦,公立，男女合校,1907年*(1),无,"16,225（含全日制与非全日制）*(2)",综合性大学,www.imperial.ac.uk
加州大学圣地亚哥分校 ,42*(2),美国,加利福尼亚州,拉霍亚,公立，男女合校,1960*(1),无,"33,735",全国性大学,www.ucsd.edu
普林斯顿大学 ,1*(2),美国,新泽西州,普林斯顿,私立，男女合校,1746*(1),无,"8,138",全国性大学,www.princeton.edu
芝加哥大学 ,3,美国,伊利诺伊州,芝加哥,私立，男女合校,1890*(1),无,"12,962",全国性大学,www.uchicago.edu
加州大学洛杉矶分校 ,21*(2),美国,加利福尼亚州,洛杉矶,公立，男女合校,1919*(1),无,"43,301",全国性大学,www.ucla.edu
耶鲁大学 ,3*(5),美国,康涅狄格州,纽黑文,私立，男女合校,1701*(1),无,"12,312",全国性大学,www.yale.edu
约翰霍普金斯大学 ,USNEWS：11*(5),美国,马里兰州,巴尔的摩,私立，男女合校*(6),1876,,"13,004",全国性大学,www.jhu.edu*(6)
华盛顿大学 ,,美国,华盛顿州,西雅图,公立，男女合校,1861*(1),无,"45,408",全国性大学,www.washington.edu
哥伦比亚大学 ,5*(2),美国,纽约州,纽约市,私立，男女合校,1754*(1),无,"30,304*(3)",全国性大学,www.columbia.edu
清华大学 ,,,,,,,,,,
加州理工学院 ,10*(6),美国,加利福尼亚州,帕萨迪纳,私立，男女合校,1891*(1),无,"2,255",全国性大学,www.caltech.edu
斯坦福大学 ,5*(2),美国,加利福尼亚州,斯坦福,私立，男女合校,1891*(1),无,"16,770",全国性大学,www.stanford.edu
剑桥大学 ,QS：1(3)；Times：1,英国,英格兰,剑桥,公立，男女合校,1209*(1),无,"19,580（含全日制与非全日制学生）",综合性大学,www.cam.ac.uk
加州大学伯克利分校 ,21*(3),美国,加利福尼亚州,伯克利,公立，男女合校,1868*(1),无,"38,204",全国性大学,www.berkeley.edu
海德堡大学 ,,德国,,海德堡,公立，男女合校,1386*(1),无,"30,873(2013年)*(6)",综合性大学，可授予博士学位,www.uni-heidelberg.de
麻省理工学院 ,5*(6),美国,马萨诸塞州,剑桥,私立，男女合校,1861*(1),无,"11,331",全国性大学,"www.,mit,.edu"
瑞尔森大学 ,8,加拿大,安大略省,多伦多,公立，男女合校,1948年,无,"35,900",综合类大学,www.ryerson.ca
贵州大学 ,,,,,,,,,,
德克萨斯州立大学 ,-*(3),美国,德克萨斯州,圣马科斯,公立，男女合校,1899*(2),无,"37,979",综合性大学,www.txstate.edu
太原理工大学 ,,,,,,,,,,
四川农业大学 ,,,,,,,,,,
路易斯安那州 ,,美国,,,,,,,,
新疆大学 ,,,,,,,,,,
南密西西比大学 ,RNP,美国,密西西比州,哈蒂斯堡,公立，男女合校,1910,无,"14,551",综合性大学,www.usm.edu
劳里埃大学 ,13,加拿大,安大略省,"滑铁卢,、布兰特福德、基奇纳",公立，男女合校,1911年,无,"14,760",综合类大学,www.wlu.ca
谢菲尔德哈莱姆大学 ,77,英国,英格兰,谢菲尔德,公立，男女合校,1843年,无,"37,160",综合性大学,www.shu.ac.uk
安徽大学 ,,,,,,,,,,
东北林业大学 ,,,,,,,,,,
广西大学 ,,,,,,,,,,
怀特州立大学 ,RNP,美国,俄亥俄州,戴顿,公立，男女合校,1964,无,"17,070",综合性大学,www.wright.edu
乌鲁（北领地） ,,澳大利亚,北领地,,,,,,,
伊利诺伊州立大学 ,159,美国,伊利诺伊州,诺摩尔,公立，男女合校,1857,无,"20,760",综合性大学,www.ilstu.edu
陕西师范大学 ,,,,,,,,,,
云南大学 ,,,,,,,,,,
