title,排名,国家,州省,城市,校训,汉译,性质,成立年份,宗教信仰,校园,学生人数,本科生人数,研究生人数,师生比,国际学生比例,就业率,学校分类,学校集团,网址
剑桥大学 ,QS：1(3)；Times：1,英国,英格兰,剑桥,"From here, light and sacred draughts",我们从这里获得启示与知识,公立，男女合校,1209*(1),无,0.37Km2（不含各书院），市区*(2),"19,580（含全日制与非全日制学生）","全日制11,865；非全日制290*(3)","全日制6,485；非全日制935*(3)",1:1.9或1:3.6（计或不计非学术教师）*(3),本科：19.3%；研究生：54.9%*(3),本科：92.2%；研究生：96.8%*(4),综合性大学,"罗素大学集团,金三角学校,G5超级精英学校,欧洲研究型大学联盟（LERU）,国际研究型大学联盟（LERU）",www.cam.ac.uk
哈佛大学 ,2*(2),美国,马萨诸塞州,剑桥（马萨诸塞州）,Veritas (Truth),真理,私立，男女合校,1636*(1),无,"总面积20.6Km2，市区,其中核心校区0.85 Km2*(1)","10,803","≈6,700*(3)","≈14,500*(3)",1:6*(4),本科：12%*(4),,全国性大学,"美国大学协会,（AAU）,常春藤盟校,殖民地学院",www.harvard.edu
普林斯顿大学 ,1*(2),美国,新泽西州,普林斯顿,Deī sub nūmine viget (Under God's Power She Flourishes),让她以上帝的名义繁荣,私立，男女合校,1746*(1),无,2.0Km2，郊区*(1),"8,138","5,402*(3)","2,736*(3)",1:5*(4),本科：11.1%*(3),,全国性大学,"美国大学协会,（AAU）,常春藤盟校,殖民地学院",www.princeton.edu
斯坦福大学 ,5*(2),美国,加利福尼亚州,斯坦福,Die Luft der Freiheit weht,让自由之风劲吹,私立，男女合校,1891*(1),无,33.1Km2，市区*(1),"16,770","6,999*(3)","9,771*(3)",1:4*(4),本科：8.8%；研究生：33.5%*(3),,全国性大学,"美国大学协会,（AAU）,太平洋十二校联盟,（Pacific-12）,隐藏常春藤,环太平洋大学联盟,（APRU）*(1)",www.stanford.edu
加州理工学院 ,10*(6),美国,加利福尼亚州,帕萨迪纳,The truth shall make you free*(1),真理必叫你得以自由,私立，男女合校,1891*(1),无,"0.5Km2,市区*(1)","2,255","1,001*(7)","1,254*(7)",1:3*(7),本科：8%*(8),,全国性大学,"美国大学协会,（AAU）,环太平洋大学联盟,（APRU）",www.caltech.edu
加州大学伯克利分校 ,21*(3),美国,加利福尼亚州,伯克利,Fiat lux (Let there be light)*(1),要有光,公立，男女合校,1868*(1),无,4.99Km2，市区*(1),"38,204","27,496 *(5)","10,708*(5)",1:17*(3),14.9 %*(7),,全国性大学,"加州大学系统,（UC）,美国大学协会,（AAU）,公立常春藤,（Public Ivy）,国际研究型大学联盟,（IARU）,太平洋十二校联盟,（Pac-12）*(1)",www.berkeley.edu
麻省理工学院 ,5*(6),美国,马萨诸塞州,剑桥,Mens et Manus (拉丁文),理论与实践并重,私立，男女合校,1861*(1),无,0.68Km2，市区*(1),"11,331","4,527*(7)","6,804*(7)",1:8*(7),"本科：9.7%*(7),研究生：41.9%*(7)",,全国性大学,"美国大学协会,（AAU）","www.,mit,.edu"
牛津大学 ,QS世界：2(6)；Times国内：1,英国,英格兰,牛津,Dominus Illuminatio Mea (Latin)；英译：The Lord is my Light,耶和华是我的亮光（语出《圣经》诗篇第27章）,公立，男女合校,确切年份不可考，授课记录始自1096年*(1),无,市区*(1),"25,905（含全日制与非全日制）*(3)","全日制11,380；非全日制5,275*(3)","全日制7,515；非全日制1,735*(3)",1:2.2或1:4.0（计或不计非学术教师）*(3),本科：12.3%；研究生：56.5%*(3),本科：91.6%；研究生：93.8%*(4),综合性大学,"罗素大学集团,金三角名校,G5超级精英学校,国际研究型大学联盟,欧洲研究型大学联盟",www.ox.ac.uk
哥伦比亚大学 ,5*(2),美国,纽约州,纽约市,In lumine Tuo videbimus lumen*(1),因汝之光，得见光明,私立，男女合校,1754*(1),无,1.21Km2 市区*(1),"30,304*(3)","8,613*(3)","21,,691*(3)",1:6,"本科：14%*(3),本科+研究生：32%*(3)",,全国性大学,"常春藤盟校,美国大学协会,（AAU）*(1)",www.columbia.edu
约翰霍普金斯大学 ,USNEWS：11*(5),美国,马里兰州,巴尔的摩,eritas vos liberabit（Latin）,真理必叫你们得以自由,私立，男女合校*(6),1876,,0.57 km2，市区,"13,004","5,386*(6)","10,618*(6)",1:12*(6),本科：10%*(7),,全国性大学,"美国大学协会,(AAU)*(3),隐藏常春藤",www.jhu.edu*(6)
